Run,Sentence,Token,Word
0,0,0,Jessica
0,0,1,going_to
0,0,2,water
0,1,0,Jessica
0,1,1,gathering
0,1,2,water
0,2,0,Jessica
0,2,1,boiling
0,2,2,water
0,3,0,Jessica
0,3,1,pouring
0,3,2,water
0,4,0,Jessica
0,4,1,drinking
0,4,2,water
0,5,0,Jessica
0,5,1,going_to
0,5,2,apple
0,6,0,Jessica
0,6,1,gathering
0,6,2,apple
0,7,0,Jessica
0,7,1,washing
0,7,2,apple
0,8,0,Jessica
0,8,1,peeling
0,8,2,apple
0,9,0,Jessica
0,9,1,eating
0,9,2,apple
0,10,0,Jessica
0,10,1,going_to
0,10,2,peach
0,11,0,Jessica
0,11,1,gathering
0,11,2,peach
0,12,0,Jessica
0,12,1,washing
0,12,2,peach
0,13,0,Jessica
0,13,1,peeling
0,13,2,peach
0,14,0,Jessica
0,14,1,eating
0,14,2,peach
0,15,0,Jessica
0,15,1,going_to
0,15,2,beer
0,16,0,Jessica
0,16,1,gathering
0,16,2,beer
0,17,0,Jessica
0,17,1,boiling
0,17,2,beer
0,18,0,Jessica
0,18,1,pouring
0,18,2,beer
0,19,0,Jessica
0,19,1,drinking
0,19,2,beer
0,20,0,Jessica
0,20,1,going_to
0,20,2,peach
0,21,0,Jessica
0,21,1,gathering
0,21,2,peach
0,22,0,Jessica
0,22,1,washing
0,22,2,peach
0,23,0,Jessica
0,23,1,peeling
0,23,2,peach
0,24,0,Jessica
0,24,1,eating
0,24,2,peach
0,25,0,Jessica
0,25,1,searching
0,26,0,Jessica
0,26,1,going_to
0,26,2,deer
0,27,0,Jessica
0,27,1,going_to
0,27,2,deer
0,28,0,Jessica
0,28,1,going_to
0,28,2,deer
0,29,0,Jessica
0,29,1,chasing
0,29,2,deer
0,30,0,Jessica
0,30,1,searching
0,31,0,Jessica
0,31,1,going_to
0,31,2,deer
0,32,0,Jessica
0,32,1,going_to
0,32,2,deer
0,33,0,Jessica
0,33,1,chasing
0,33,2,deer
0,34,0,Jessica
0,34,1,searching
0,35,0,Jessica
0,35,1,going_to
0,35,2,deer
0,36,0,Jessica
0,36,1,going_to
0,36,2,deer
0,37,0,Jessica
0,37,1,chasing
0,37,2,deer
0,38,0,Jessica
0,38,1,searching
0,39,0,Jessica
0,39,1,going_to
0,39,2,deer
0,40,0,Jessica
0,40,1,going_to
0,40,2,deer
0,41,0,Jessica
0,41,1,chasing
0,41,2,deer
0,42,0,Jessica
0,42,1,searching
0,43,0,Jessica
0,43,1,going_to
0,43,2,deer
0,44,0,Jessica
0,44,1,going_to
0,44,2,deer
0,45,0,Jessica
0,45,1,going_to
0,45,2,deer
0,46,0,Jessica
0,46,1,chasing
0,46,2,deer
0,47,0,Jessica
0,47,1,searching
0,48,0,Jessica
0,48,1,going_to
0,48,2,deer
0,49,0,Jessica
0,49,1,going_to
0,49,2,deer
0,50,0,Jessica
0,50,1,going_to
0,50,2,deer
0,51,0,Jessica
0,51,1,chasing
0,51,2,deer
0,52,0,Jessica
0,52,1,searching
0,53,0,Jessica
0,53,1,going_to
0,53,2,deer
0,54,0,Jessica
0,54,1,going_to
0,54,2,deer
0,55,0,Jessica
0,55,1,going_to
0,55,2,deer
0,56,0,Jessica
0,56,1,chasing
0,56,2,deer
0,57,0,Jessica
0,57,1,shooting
0,57,2,deer
0,58,0,Jessica
0,58,1,gathering
0,58,2,deer
0,59,0,Jessica
0,59,1,butchering
0,59,2,deer
0,60,0,Jessica
0,60,1,washing
0,60,2,deer
0,61,0,Jessica
0,61,1,cooking
0,61,2,deer
0,62,0,Jessica
0,62,1,eating
0,62,2,deer
0,63,0,Jessica
0,63,1,searching
0,64,0,Jessica
0,64,1,going_to
0,64,2,deer
0,65,0,Jessica
0,65,1,going_to
0,65,2,deer
0,66,0,Jessica
0,66,1,chasing
0,66,2,deer
0,67,0,Jessica
0,67,1,searching
0,68,0,Jessica
0,68,1,going_to
0,68,2,deer
0,69,0,Jessica
0,69,1,going_to
0,69,2,deer
0,70,0,Jessica
0,70,1,going_to
0,70,2,deer
0,71,0,Jessica
0,71,1,chasing
0,71,2,deer
0,72,0,Jessica
0,72,1,searching
0,73,0,Jessica
0,73,1,going_to
0,73,2,rabbit
0,74,0,Jessica
0,74,1,going_to
0,74,2,rabbit
0,75,0,Jessica
0,75,1,going_to
0,75,2,rabbit
0,76,0,Jessica
0,76,1,trapping
0,76,2,rabbit
0,77,0,Jessica
0,77,1,waiting
0,77,2,rabbit
0,78,0,Jessica
0,78,1,catching
0,78,2,rabbit
0,79,0,Jessica
0,79,1,gathering
0,79,2,rabbit
0,80,0,Jessica
0,80,1,butchering
0,80,2,rabbit
0,81,0,Jessica
0,81,1,washing
0,81,2,rabbit
0,82,0,Jessica
0,82,1,cooking
0,82,2,rabbit
0,83,0,Jessica
0,83,1,eating
0,83,2,rabbit
0,84,0,Jessica
0,84,1,searching
0,85,0,Jessica
0,85,1,going_to
0,85,2,deer
0,86,0,Jessica
0,86,1,going_to
0,86,2,deer
0,87,0,Jessica
0,87,1,going_to
0,87,2,deer
0,88,0,Jessica
0,88,1,chasing
0,88,2,deer
0,89,0,Jessica
0,89,1,searching
0,90,0,Jessica
0,90,1,going_to
0,90,2,deer
0,91,0,Jessica
0,91,1,going_to
0,91,2,deer
0,92,0,Jessica
0,92,1,going_to
0,92,2,deer
0,93,0,Jessica
0,93,1,going_to
0,93,2,deer
0,94,0,Jessica
0,94,1,chasing
0,94,2,deer
0,95,0,Jessica
0,95,1,searching
0,96,0,Jessica
0,96,1,going_to
0,96,2,deer
0,97,0,Jessica
0,97,1,going_to
0,97,2,deer
0,98,0,Jessica
0,98,1,going_to
0,98,2,deer
0,99,0,Jessica
0,99,1,going_to
0,99,2,deer
0,100,0,Jessica
0,100,1,chasing
0,100,2,deer
0,101,0,Jessica
0,101,1,searching
0,102,0,Jessica
0,102,1,going_to
0,102,2,deer
0,103,0,Jessica
0,103,1,going_to
0,103,2,deer
0,104,0,Jessica
0,104,1,going_to
0,104,2,deer
0,105,0,Jessica
0,105,1,going_to
0,105,2,deer
0,106,0,Jessica
0,106,1,chasing
0,106,2,deer
0,107,0,Jessica
0,107,1,searching
0,108,0,Jessica
0,108,1,going_to
0,108,2,deer
0,109,0,Jessica
0,109,1,going_to
0,109,2,deer
0,110,0,Jessica
0,110,1,going_to
0,110,2,deer
0,111,0,Jessica
0,111,1,going_to
0,111,2,deer
0,112,0,Jessica
0,112,1,chasing
0,112,2,deer
0,113,0,Jessica
0,113,1,shooting
0,113,2,deer
0,114,0,Jessica
0,114,1,gathering
0,114,2,deer
0,115,0,Jessica
0,115,1,butchering
0,115,2,deer
0,116,0,Jessica
0,116,1,washing
0,116,2,deer
0,117,0,Jessica
0,117,1,cooking
0,117,2,deer
0,118,0,Jessica
0,118,1,eating
0,118,2,deer
0,119,0,Jessica
0,119,1,searching
0,120,0,Jessica
0,120,1,going_to
0,120,2,deer
0,121,0,Jessica
0,121,1,going_to
0,121,2,deer
0,122,0,Jessica
0,122,1,going_to
0,122,2,deer
0,123,0,Jessica
0,123,1,going_to
0,123,2,deer
0,124,0,Jessica
0,124,1,chasing
0,124,2,deer
0,125,0,Jessica
0,125,1,shooting
0,125,2,deer
0,126,0,Jessica
0,126,1,searching
0,127,0,Jessica
0,127,1,going_to
0,127,2,deer
0,128,0,Jessica
0,128,1,going_to
0,128,2,deer
0,129,0,Jessica
0,129,1,chasing
0,129,2,deer
0,130,0,Jessica
0,130,1,searching
0,131,0,Jessica
0,131,1,going_to
0,131,2,deer
0,132,0,Jessica
0,132,1,going_to
0,132,2,deer
0,133,0,Jessica
0,133,1,chasing
0,133,2,deer
0,134,0,Jessica
0,134,1,searching
0,135,0,Jessica
0,135,1,going_to
0,135,2,deer
0,136,0,Jessica
0,136,1,going_to
0,136,2,deer
0,137,0,Jessica
0,137,1,going_to
0,137,2,deer
0,138,0,Jessica
0,138,1,going_to
0,138,2,deer
0,139,0,Jessica
0,139,1,chasing
0,139,2,deer
0,140,0,Jessica
0,140,1,searching
0,141,0,Jessica
0,141,1,going_to
