Subject,Item,Key,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
1,going_to_water,4.0,3.0,2.0,3.0,7.0,6.0,8.0,3.0,8.0,4.0,6.0
1,going_to_deer,8.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,6.0,8.0,8.0
1,going_to_rabbit,7.0,7.0,4.0,7.0,6.0,7.0,7.0,7.0,4.0,7.0,1.0
1,going_to_beer,6.0,1.0,1.0,1.0,3.0,4.0,6.0,4.0,5.0,6.0,3.0
1,going_to_apple,3.0,4.0,5.0,5.0,5.0,2.0,3.0,5.0,3.0,3.0,3.0
1,going_to_juice,5.0,2.0,3.0,2.0,1.0,5.0,5.0,1.0,2.0,5.0,6.0
1,going_to_peach,2.0,5.0,6.0,4.0,4.0,1.0,4.0,2.0,1.0,2.0,6.0
1,going_to_pear,1.0,6.0,7.0,6.0,2.0,3.0,1.0,6.0,7.0,1.0,3.0
1,gathering_water,6.0,8.0,7.0,8.0,7.0,6.0,7.0,8.0,3.0,6.0,7.0
1,gathering_deer,2.0,2.0,1.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0
1,gathering_rabbit,1.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0
1,gathering_beer,8.0,6.0,8.0,6.0,3.0,8.0,5.0,7.0,8.0,8.0,4.0
1,gathering_apple,5.0,3.0,4.0,3.0,6.0,5.0,4.0,4.0,4.0,5.0,4.0
1,gathering_juice,7.0,7.0,6.0,7.0,4.0,7.0,8.0,6.0,7.0,7.0,7.0
1,gathering_peach,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,6.0,4.0,7.0
1,gathering_pear,3.0,5.0,3.0,5.0,2.0,3.0,2.0,5.0,5.0,3.0,4.0
1,boiling_water,6.0,8.0,7.0,8.0,6.0,6.0,3.0,7.0,5.0,6.0,7.5
1,boiling_deer,5.0,3.0,3.0,1.5,2.0,3.0,7.0,2.0,6.0,4.0,2.0
1,boiling_rabbit,1.0,3.0,2.0,1.5,3.0,3.0,4.0,1.0,2.0,5.0,1.0
1,boiling_beer,8.0,6.0,1.0,6.0,1.0,7.0,8.0,6.0,8.0,8.0,6.0
1,boiling_apple,3.0,3.0,5.0,5.0,4.0,3.0,2.0,5.0,1.0,3.0,4.0
1,boiling_juice,7.0,7.0,8.0,7.0,7.0,8.0,1.0,8.0,7.0,7.0,7.5
1,boiling_peach,3.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,2.0,4.0
1,boiling_pear,3.0,3.0,6.0,3.0,8.0,3.0,6.0,4.0,4.0,1.0,4.0
1,pouring_water,6.0,8.0,2.0,8.0,4.0,6.0,7.0,6.0,8.0,6.0,7.5
1,pouring_deer,5.0,1.5,7.0,3.0,6.0,1.0,4.0,1.0,7.0,4.0,2.0
1,pouring_rabbit,1.0,1.5,3.0,3.0,2.0,2.0,5.0,2.0,6.0,5.0,1.0
1,pouring_beer,8.0,6.0,6.0,6.0,8.0,8.0,2.0,7.0,4.0,8.0,6.0
1,pouring_apple,4.0,4.0,4.0,3.0,5.0,4.0,6.0,5.0,2.0,3.0,4.0
1,pouring_juice,7.0,7.0,1.0,7.0,1.0,7.0,1.0,8.0,5.0,7.0,7.5
1,pouring_peach,3.0,5.0,8.0,3.0,3.0,5.0,8.0,4.0,3.0,2.0,4.0
1,pouring_pear,2.0,3.0,5.0,3.0,7.0,3.0,3.0,3.0,1.0,1.0,4.0
1,drinking_water,6.0,8.0,5.0,8.0,3.0,3.0,8.0,6.0,8.0,6.0,7.5
1,drinking_deer,5.0,1.0,2.0,1.0,5.0,1.0,5.0,1.0,6.0,4.0,2.0
1,drinking_rabbit,1.0,2.0,1.0,5.0,4.0,2.0,2.0,5.0,3.0,5.0,1.0
1,drinking_beer,8.0,6.0,7.0,6.0,8.0,5.0,1.0,7.0,4.0,8.0,6.0
1,drinking_apple,4.0,4.0,8.0,4.0,1.0,8.0,4.0,3.0,7.0,3.0,4.0
1,drinking_juice,7.0,7.0,6.0,7.0,7.0,4.0,7.0,8.0,5.0,7.0,7.5
1,drinking_peach,3.0,5.0,3.0,3.0,6.0,7.0,6.0,4.0,2.0,2.0,4.0
1,drinking_pear,2.0,3.0,4.0,2.0,2.0,6.0,3.0,2.0,1.0,1.0,4.0
