subject,item,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100,M101,M102,M103,M104,M105,M106,M107,M108,M109,M110,M111,M112,M113,M114,M115,M116,M117,M118,M119,M120,M121,M122,M123,M124,M125,M126,M127,M128,M129,M130,M131,M132,M133,M134,M135,M136,M137,M138,M139,M140,M141,M142,M143,M144
1,going_to_water,4.5,4.5,3.0,4.5,4.5,4.5,3.0,4.5,4.5,4.5,3.0,4.5,8.0,5.0,6.0,5.0,8.0,5.0,6.0,5.0,8.0,3.0,6.0,3.0,4.5,4.5,5.0,4.5,4.5,4.0,5.0,4.0,4.5,5.0,5.0,5.0,6.5,8.0,8.0,8.0,6.5,4.5,8.0,4.5,6.5,5.0,8.0,5.0,3.0,4.5,3.0,4.5,3.0,3.5,3.0,3.5,3.0,4.5,3.0,4.5,1.0,7.0,2.0,7.0,1.0,4.0,2.0,4.0,1.0,8.0,2.0,8.0,5.0,4.5,5.0,4.5,5.0,4.0,5.0,4.0,5.0,2.0,5.0,3.0,4.5,8.0,6.0,8.0,4.5,5.5,6.0,5.5,4.5,3.0,6.0,3.0,3.5,4.5,4.0,4.5,3.5,4.5,4.0,4.5,3.5,4.5,4.0,4.5,2.5,7.0,5.0,7.0,2.5,1.5,5.0,1.5,2.5,8.0,5.0,8.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,8.0,4.0,8.0,8.0,8.0,4.0,5.5,8.0,5.5,4.0,3.0,8.0,3.0
1,going_to_apple,4.5,4.5,3.0,4.5,4.5,4.5,3.0,4.5,4.5,4.5,3.0,4.5,2.5,8.0,8.0,8.0,2.5,5.0,8.0,5.0,2.5,1.0,8.0,1.0,4.5,4.5,1.0,4.5,4.5,8.0,1.0,8.0,4.5,2.0,1.0,2.0,4.0,2.0,4.0,2.0,4.0,4.5,4.0,4.5,4.0,8.0,4.0,8.0,3.0,4.5,3.0,4.5,3.0,7.0,3.0,7.0,3.0,7.0,3.0,7.0,7.5,8.0,8.0,8.0,7.5,4.0,8.0,4.0,7.5,2.0,8.0,2.0,1.0,4.5,1.0,4.5,1.0,8.0,1.0,8.0,1.0,2.0,1.0,1.5,4.5,7.0,3.0,7.0,4.5,5.5,3.0,5.5,4.5,6.0,3.0,6.0,3.5,7.0,4.0,7.0,3.5,7.0,4.0,7.0,3.5,7.0,4.0,7.0,5.5,8.0,6.0,8.0,5.5,5.5,6.0,5.5,5.5,6.0,6.0,6.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,6.5,1.0,6.5,8.0,7.0,5.0,7.0,8.0,5.5,5.0,5.5,8.0,8.0,5.0,8.0
1,going_to_peach,4.5,4.5,3.0,4.5,4.5,4.5,3.0,4.5,4.5,4.5,3.0,4.5,2.5,7.0,5.0,7.0,2.5,5.0,5.0,5.0,2.5,7.0,5.0,7.0,4.5,4.5,2.5,4.5,4.5,6.5,2.5,6.5,4.5,5.0,2.5,5.0,6.5,7.0,6.0,7.0,6.5,4.5,6.0,4.5,6.5,2.0,6.0,2.0,3.0,4.5,3.0,4.5,3.0,7.0,3.0,7.0,3.0,7.0,3.0,7.0,7.5,2.0,7.0,2.0,7.5,4.0,7.0,4.0,7.5,3.0,7.0,3.0,2.5,4.5,2.5,4.5,2.5,6.5,2.5,6.5,2.5,4.5,2.5,4.5,4.5,3.0,1.0,3.0,4.5,5.5,1.0,5.5,4.5,5.0,1.0,5.0,3.5,7.0,4.0,7.0,3.5,7.0,4.0,7.0,3.5,7.0,4.0,7.0,5.5,3.0,3.0,3.0,5.5,5.5,3.0,5.5,5.5,1.0,3.0,1.0,2.5,6.0,2.5,6.0,2.5,2.5,2.5,2.5,2.5,4.5,2.5,4.5,6.5,1.0,1.0,1.0,6.5,1.5,1.0,1.5,6.5,2.0,1.0,2.0
1,going_to_beer,4.5,4.5,6.0,4.5,4.5,4.5,6.0,4.5,4.5,4.5,6.0,4.5,2.5,3.0,7.0,3.0,2.5,5.0,7.0,5.0,2.5,4.0,7.0,4.0,4.5,4.5,6.0,4.5,4.5,3.0,6.0,3.0,4.5,2.0,6.0,2.0,3.0,4.0,5.0,4.0,3.0,4.5,5.0,4.5,3.0,3.0,5.0,3.0,6.0,4.5,6.0,4.5,6.0,5.0,6.0,5.0,6.0,3.0,6.0,3.0,3.0,4.0,1.0,4.0,3.0,8.0,1.0,8.0,3.0,4.0,1.0,4.0,6.0,4.5,6.0,4.5,6.0,3.0,6.0,3.0,6.0,6.0,6.0,6.0,4.5,2.0,7.0,2.0,4.5,1.5,7.0,1.5,4.5,2.0,7.0,2.0,3.5,3.0,1.0,3.0,3.5,3.0,1.0,3.0,3.5,3.0,1.0,3.0,1.0,6.0,7.0,6.0,1.0,5.5,7.0,5.5,1.0,3.0,7.0,3.0,6.0,3.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,3.0,3.0,5.0,3.0,5.0,3.0,5.5,3.0,5.5,3.0,4.0,3.0,4.0
1,going_to_deer,4.5,4.5,8.0,4.5,4.5,4.5,8.0,4.5,4.5,4.5,8.0,4.5,2.5,6.0,2.0,6.0,2.5,5.0,2.0,5.0,2.5,6.0,2.0,6.0,4.5,4.5,8.0,4.5,4.5,1.0,8.0,1.0,4.5,8.0,8.0,8.0,1.0,6.0,3.0,6.0,1.0,4.5,3.0,4.5,1.0,4.0,3.0,4.0,8.0,4.5,8.0,4.5,8.0,2.0,8.0,2.0,8.0,1.0,8.0,1.0,4.0,6.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,7.0,4.0,7.0,8.0,4.5,8.0,4.5,8.0,1.0,8.0,1.0,8.0,8.0,8.0,8.0,4.5,4.0,2.0,4.0,4.5,5.5,2.0,5.5,4.5,1.0,2.0,1.0,8.0,2.0,8.0,2.0,8.0,2.0,8.0,2.0,8.0,1.0,8.0,1.0,7.0,4.0,1.0,4.0,7.0,5.5,1.0,5.5,7.0,5.0,1.0,5.0,8.0,1.0,8.0,1.0,8.0,7.0,8.0,7.0,8.0,1.0,8.0,1.0,1.0,6.0,7.0,6.0,1.0,5.5,7.0,5.5,1.0,7.0,7.0,7.0
1,going_to_rabbit,4.5,4.5,7.0,4.5,4.5,4.5,7.0,4.5,4.5,4.5,7.0,4.5,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.5,4.5,7.0,4.5,4.5,2.0,7.0,2.0,4.5,7.0,7.0,7.0,2.0,3.0,7.0,3.0,2.0,4.5,7.0,4.5,2.0,1.0,7.0,1.0,7.0,4.5,7.0,4.5,7.0,1.0,7.0,1.0,7.0,2.0,7.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,7.0,4.5,7.0,4.5,7.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,4.5,6.0,4.0,6.0,4.5,5.5,4.0,5.5,4.5,7.0,4.0,7.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,2.0,7.0,2.0,8.0,1.0,2.0,1.0,8.0,5.5,2.0,5.5,8.0,2.0,2.0,2.0,7.0,2.0,7.0,2.0,7.0,8.0,7.0,8.0,7.0,2.0,7.0,2.0,2.0,4.0,6.0,4.0,2.0,5.5,6.0,5.5,2.0,1.0,6.0,1.0
1,going_to_pear,4.5,4.5,3.0,4.5,4.5,4.5,3.0,4.5,4.5,4.5,3.0,4.5,6.5,2.0,1.0,2.0,6.5,5.0,1.0,5.0,6.5,2.0,1.0,2.0,4.5,4.5,2.5,4.5,4.5,6.5,2.5,6.5,4.5,5.0,2.5,5.0,6.5,5.0,2.0,5.0,6.5,4.5,2.0,4.5,6.5,7.0,2.0,7.0,3.0,4.5,3.0,4.5,3.0,7.0,3.0,7.0,3.0,7.0,3.0,7.0,6.0,3.0,6.0,3.0,6.0,4.0,6.0,4.0,6.0,1.0,6.0,1.0,2.5,4.5,2.5,4.5,2.5,6.5,2.5,6.5,2.5,4.5,2.5,4.5,4.5,1.0,5.0,1.0,4.5,1.5,5.0,1.5,4.5,4.0,5.0,4.0,3.5,7.0,4.0,7.0,3.5,7.0,4.0,7.0,3.5,7.0,4.0,7.0,4.0,5.0,4.0,5.0,4.0,1.5,4.0,1.5,4.0,4.0,4.0,4.0,2.5,6.0,2.5,6.0,2.5,2.5,2.5,2.5,2.5,4.5,2.5,4.5,6.5,2.0,2.0,2.0,6.5,1.5,2.0,1.5,6.5,6.0,2.0,6.0
1,going_to_juice,4.5,4.5,3.0,4.5,4.5,4.5,3.0,4.5,4.5,4.5,3.0,4.5,6.5,1.0,3.0,1.0,6.5,1.0,3.0,1.0,6.5,8.0,3.0,8.0,4.5,4.5,4.0,4.5,4.5,5.0,4.0,5.0,4.5,2.0,4.0,2.0,6.5,1.0,1.0,1.0,6.5,4.5,1.0,4.5,6.5,6.0,1.0,6.0,3.0,4.5,3.0,4.5,3.0,3.5,3.0,3.5,3.0,4.5,3.0,4.5,2.0,1.0,3.0,1.0,2.0,4.0,3.0,4.0,2.0,6.0,3.0,6.0,4.0,4.5,4.0,4.5,4.0,5.0,4.0,5.0,4.0,2.0,4.0,1.5,4.5,5.0,8.0,5.0,4.5,5.5,8.0,5.5,4.5,8.0,8.0,8.0,3.5,4.5,4.0,4.5,3.5,4.5,4.0,4.5,3.5,4.5,4.0,4.5,2.5,2.0,8.0,2.0,2.5,5.5,8.0,5.5,2.5,7.0,8.0,7.0,4.0,6.0,4.0,6.0,4.0,4.0,4.0,4.0,4.0,6.5,4.0,6.5,5.0,3.0,4.0,3.0,5.0,5.5,4.0,5.5,5.0,5.0,4.0,5.0
1,gathering_water,4.5,4.5,5.0,4.5,4.5,4.5,5.0,4.5,4.5,4.5,5.0,4.5,6.0,1.0,4.0,1.0,6.0,1.5,4.0,1.5,6.0,3.0,4.0,3.0,4.5,4.5,7.0,4.5,4.5,4.0,7.0,4.0,4.5,1.0,7.0,1.0,4.0,3.0,8.0,3.0,4.0,2.0,8.0,2.0,4.0,5.0,8.0,5.0,5.0,4.5,5.0,4.5,5.0,3.5,5.0,3.5,5.0,4.5,5.0,4.5,4.0,3.0,5.0,3.0,4.0,5.5,5.0,5.5,4.0,1.0,5.0,1.0,7.0,4.5,7.0,4.5,7.0,4.0,7.0,4.0,7.0,1.0,7.0,1.0,7.0,8.0,5.0,8.0,7.0,4.0,5.0,4.0,7.0,6.0,5.0,6.0,5.0,4.5,5.0,4.5,5.0,4.5,5.0,4.5,5.0,4.5,5.0,4.5,7.0,4.0,7.0,4.0,7.0,5.0,7.0,5.0,7.0,1.0,7.0,1.0,7.0,6.0,7.0,6.0,7.0,8.0,7.0,8.0,7.0,6.0,7.0,6.0,2.0,7.0,7.0,7.0,2.0,4.5,7.0,4.5,2.0,3.0,7.0,3.0
1,gathering_apple,4.5,4.5,5.0,4.5,4.5,4.5,5.0,4.5,4.5,4.5,5.0,4.5,3.5,5.0,7.0,5.0,3.5,5.5,7.0,5.5,3.5,1.0,7.0,1.0,4.5,4.5,1.0,4.5,4.5,8.0,1.0,8.0,4.5,3.5,1.0,3.5,8.0,8.0,4.0,8.0,8.0,6.0,4.0,6.0,8.0,8.0,4.0,8.0,5.0,4.5,5.0,4.5,5.0,7.0,5.0,7.0,5.0,7.0,5.0,7.0,6.5,4.0,2.0,4.0,6.5,5.5,2.0,5.5,6.5,7.0,2.0,7.0,1.0,4.5,1.0,4.5,1.0,8.0,1.0,8.0,1.0,2.5,1.0,2.5,3.0,1.0,7.0,1.0,3.0,4.0,7.0,4.0,3.0,3.0,7.0,3.0,5.0,7.0,5.0,7.0,5.0,7.0,5.0,7.0,5.0,7.0,5.0,7.0,1.5,6.0,4.0,6.0,1.5,5.0,4.0,5.0,1.5,3.0,4.0,3.0,1.0,6.0,1.0,6.0,1.0,3.0,1.0,3.0,1.0,7.5,1.0,7.5,6.0,3.0,4.0,3.0,6.0,4.5,4.0,4.5,6.0,8.0,4.0,8.0
